ID_LONG,CONDITION_ID,TRIAL_NB,MAIN_SUPPORT,PRE_LIKES,POST_LIKES,AGE,FB_MODALITY,FB_OPTIMALITY,VALENCE,CONTEXT,PRE_FB_MODALITY,PRE_FB_OPTIMALITY,PRE_VALENCE,PRE_CONTEXT
1,6,23,66,79,62,21,Tactile,Suboptimal,Negative,Individual,Tactile,Suboptimal,Positive,Social
1,6,24,76,80,58,21,Tactile,Suboptimal,Negative,Individual,Tactile,Suboptimal,Positive,Social
1,7,25,30,49,49,21,Tactile,Optimal,Negative,Social,Visual,Optimal,Positive,Social
1,7,26,66,80,59,21,Tactile,Optimal,Negative,Social,Visual,Optimal,Positive,Social
1,7,27,73,80,39,21,Tactile,Optimal,Negative,Social,Visual,Suboptimal,Positive,Social
1,7,28,63,71,29,21,Tactile,Optimal,Negative,Social,Visual,Suboptimal,Positive,Social
1,8,29,69,61,55,21,Tactile,Suboptimal,Negative,Social,Visual,Optimal,Positive,Social
1,8,30,68,51,54,21,Tactile,Suboptimal,Negative,Social,Visual,Optimal,Positive,Social
1,8,31,67,61,19,21,Tactile,Suboptimal,Negative,Social,Visual,Suboptimal,Positive,Social
1,8,32,66,80,52,21,Tactile,Suboptimal,Negative,Social,Visual,Suboptimal,Positive,Social
1,9,33,65,58,47,21,Visual,Optimal,Positive,Individual,Tactile,Optimal,Negative,Individual
1,9,34,46,39,33,21,Visual,Optimal,Positive,Individual,Tactile,Optimal,Negative,Individual
1,9,35,10,60,37,21,Visual,Optimal,Positive,Individual,Tactile,Optimal,Negative,Individual
1,9,36,40,30,68,21,Visual,Optimal,Positive,Individual,Tactile,Optimal,Negative,Individual
1,10,37,50,60,55,21,Visual,Suboptimal,Positive,Individual,Tactile,Suboptimal,Negative,Individual
1,10,38,28,60,61,21,Visual,Suboptimal,Positive,Individual,Tactile,Suboptimal,Negative,Individual
1,10,39,5,60,54,21,Visual,Suboptimal,Positive,Individual,Tactile,Suboptimal,Negative,Individual
1,10,40,0,60,65,21,Visual,Suboptimal,Positive,Individual,Tactile,Suboptimal,Negative,Individual
1,11,41,55,60,51,21,Visual,Optimal,Positive,Social,Visual,Optimal,Negative,Individual
1,11,42,50,30,55,21,Visual,Optimal,Positive,Social,Visual,Optimal,Negative,Individual
1,11,43,28,60,45,21,Visual,Optimal,Positive,Social,Visual,Suboptimal,Negative,Individual
1,11,44,20,35,38,21,Visual,Optimal,Positive,Social,Visual,Suboptimal,Negative,Individual
1,12,45,42,70,56,21,Visual,Suboptimal,Positive,Social,Visual,Optimal,Negative,Individual
1,12,46,50,59,36,21,Visual,Suboptimal,Positive,Social,Visual,Optimal,Negative,Individual
1,12,47,20,40,34,21,Visual,Suboptimal,Positive,Social,Visual,Suboptimal,Negative,Individual
1,12,48,7,59,55,21,Visual,Suboptimal,Positive,Social,Visual,Suboptimal,Negative,Individual
1,13,49,35,77,66,21,Visual,Optimal,Negative,Individual,Tactile,Optimal,Negative,Social
1,13,50,46,64,39,21,Visual,Optimal,Negative,Individual,Tactile,Optimal,Negative,Social
1,13,51,19,61,66,21,Visual,Optimal,Negative,Individual,Tactile,Optimal,Negative,Social
1,13,52,9,62,50,21,Visual,Optimal,Negative,Individual,Tactile,Optimal,Negative,Social
1,14,53,14,79,43,21,Visual,Suboptimal,Negative,Individual,Tactile,Suboptimal,Negative,Social
1,14,54,28,71,56,21,Visual,Suboptimal,Negative,Individual,Tactile,Suboptimal,Negative,Social
1,14,55,33,60,70,21,Visual,Suboptimal,Negative,Individual,Tactile,Suboptimal,Negative,Social
1,14,56,31,30,37,21,Visual,Suboptimal,Negative,Individual,Tactile,Suboptimal,Negative,Social
1,15,57,30,39,41,21,Visual,Optimal,Negative,Social,Visual,Optimal,Negative,Social
1,15,58,50,40,72,21,Visual,Optimal,Negative,Social,Visual,Optimal,Negative,Social
1,15,59,4,80,56,21,Visual,Optimal,Negative,Social,Visual,Suboptimal,Negative,Social
1,15,60,22,67,62,21,Visual,Optimal,Negative,Social,Visual,Suboptimal,Negative,Social
1,16,61,45,70,45,21,Visual,Suboptimal,Negative,Social,Visual,Optimal,Negative,Social
1,16,62,6,51,57,21,Visual,Suboptimal,Negative,Social,Visual,Optimal,Negative,Social
1,16,63,10,53,45,21,Visual,Suboptimal,Negative,Social,Visual,Suboptimal,Negative,Social
1,16,64,0,80,72,21,Visual,Suboptimal,Negative,Social,Visual,Suboptimal,Negative,Social
2,1,1,85,94,90,35,Tactile,Optimal,Positive,Individual,Tactile,Optimal,Positive,Individual
2,1,2,,88,89,35,Tactile,Optimal,Positive,Individual,Tactile,Optimal,Positive,Individual
2,1,3,30,97,100,35,Tactile,Optimal,Positive,Individual,Tactile,Optimal,Positive,Individual
2,1,4,40,96,91,35,Tactile,Optimal,Positive,Individual,Tactile,Optimal,Positive,Individual
2,2,5,77,81,73,35,Tactile,Suboptimal,Positive,Individual,Tactile,Suboptimal,Positive,Individual
2,2,6,,74,91,35,Tactile,Suboptimal,Positive,Individual,Tactile,Suboptimal,Positive,Individual
2,2,7,,92,22,35,Tactile,Suboptimal,Positive,Individual,Tactile,Suboptimal,Positive,Individual
2,2,8,88,100,98,35,Tactile,Suboptimal,Positive,Individual,Tactile,Suboptimal,Positive,Individual
2,3,9,39,81,85,35,Tactile,Optimal,Positive,Social,Visual,Optimal,Positive,Individual
2,3,10,,89,100,35,Tactile,Optimal,Positive,Social,Visual,Optimal,Positive,Individual
2,3,11,72,94,72,35,Tactile,Optimal,Positive,Social,Visual,Suboptimal,Positive,Individual
2,3,12,,90,84,35,Tactile,Optimal,Positive,Social,Visual,Suboptimal,Positive,Individual
2,4,13,89,56,53,35,Tactile,Suboptimal,Positive,Social,Visual,Optimal,Positive,Individual
2,4,14,78,52,49,35,Tactile,Suboptimal,Positive,Social,Visual,Optimal,Positive,Individual
2,4,15,74,75,86,35,Tactile,Suboptimal,Positive,Social,Visual,Suboptimal,Positive,Individual
2,4,16,,95,100,35,Tactile,Suboptimal,Positive,Social,Visual,Suboptimal,Positive,Individual
2,5,17,,45,96,35,Tactile,Optimal,Negative,Individual,Tactile,Optimal,Positive,Social
2,5,18,,80,67,35,Tactile,Optimal,Negative,Individual,Tactile,Optimal,Positive,Social
2,5,19,1,86,88,35,Tactile,Optimal,Negative,Individual,Tactile,Optimal,Positive,Social
2,5,20,8,93,95,35,Tactile,Optimal,Negative,Individual,Tactile,Optimal,Positive,Social
2,6,21,38,99,99,35,Tactile,Suboptimal,Negative,Individual,Tactile,Suboptimal,Positive,Social
2,6,22,,85,82,35,Tactile,Suboptimal,Negative,Individual,Tactile,Suboptimal,Positive,Social
2,6,23,,48,29,35,Tactile,Suboptimal,Negative,Individual,Tactile,Suboptimal,Positive,Social
2,6,24,64,92,86,35,Tactile,Suboptimal,Negative,Individual,Tactile,Suboptimal,Positive,Social
2,7,25,4,86,96,35,Tactile,Optimal,Negative,Social,Visual,Optimal,Positive,Social
2,7,26,,90,98,35,Tactile,Optimal,Negative,Social,Visual,Optimal,Positive,Social
2,7,27,3,63,100,35,Tactile,Optimal,Negative,Social,Visual,Suboptimal,Positive,Social
2,7,28,14,57,68,35,Tactile,Optimal,Negative,Social,Visual,Suboptimal,Positive,Social
2,8,29,39,92,86,35,Tactile,Suboptimal,Negative,Social,Visual,Optimal,Positive,Social
2,8,30,18,79,100,35,Tactile,Suboptimal,Negative,Social,Visual,Optimal,Positive,Social
2,8,31,10,76,78,35,Tactile,Suboptimal,Negative,Social,Visual,Suboptimal,Positive,Social
2,8,32,30,12,66,35,Tactile,Suboptimal,Negative,Social,Visual,Suboptimal,Positive,Social
2,9,33,100,33,34,35,Visual,Optimal,Positive,Individual,Tactile,Optimal,Negative,Individual
2,9,34,100,3,5,35,Visual,Optimal,Positive,Individual,Tactile,Optimal,Negative,Individual
2,9,35,31,5,18,35,Visual,Optimal,Positive,Individual,Tactile,Optimal,Negative,Individual
2,9,36,,33,8,35,Visual,Optimal,Positive,Individual,Tactile,Optimal,Negative,Individual
2,10,37,87,22,7,35,Visual,Suboptimal,Positive,Individual,Tactile,Suboptimal,Negative,Individual
2,10,38,,78,8,35,Visual,Suboptimal,Positive,Individual,Tactile,Suboptimal,Negative,Individual
2,10,39,74,5,0,35,Visual,Suboptimal,Positive,Individual,Tactile,Suboptimal,Negative,Individual
